,Unnamed: 0,title,link,keywords,creator,video_url,description,content,pubDate,full_description,image_url,source_id,language,en_title,en_description,title_positive_score,title_neutral_score,title_negative_score,en_title_positive_score,en_title_neutral_score,en_title_negative_score,desc_positive_score,desc_neutral_score,desc_negative_score,en_desc_positive_score,en_desc_neutral_score,en_desc_negative_score
0,683,Die große Kimmich-Debatte - Impf-Ruck statt Impf-Druck,https://www.bild.de/politik/inland/politik-inland/die-grosse-kimmich-debatte-impf-ruck-statt-impf-druck-78059238.bild.html,"['Politik-Inland', 'Corona-Impfung', 'Coronavirus', 'Impfungen', 'Pandemie', 'Grippe']",,,Bayern-Star Kimmich hat mit seinem Nicht-Geimpft-Geständnis eine Riesen-Debatte ausgelöst!Foto: Getty Images,,2021-10-25 20:14:44,"Bayern-Star Joshua Kimmich (26) hat mit seinem Nicht-Geimpft-Geständnis eine Riesen-Debatte ausgelöst! Bayern-Boss Karl-Heinz Rummenigge (66), SPD-Gesundheitsexperte Karl Lauterbach (58) und sogar Merkel-Sprecher Steffen Seibert (61) empfahlen dem Nationalspieler öffentlich, sich impfen zu lassen, verwiesen auf seine Vorbildfunktion. Denn: Kimmich erklärte, noch Bedenken zu haben, besonders was eventuelle Langzeitfolgen einer Impfung angeht. Dafür interessiere sich kaum jemand, so Kimmich, stattdessen werde man „direkt abgestempelt“. Und: „Oftmals ist es so, dass man sich eher unter Druck gesetzt fühlt.“ Lesen Sie auch Debatte um Bayern-Star Jetzt hofft sogar die Regierung auf Kimmich-Impfung Nächstes Kapitel in der Diskussion um die Nicht-Impf-Aussage von Joshua Kimmich (26). ► Damit sagte Kimmich, was Millionen Deutsche denken und fühlen. Denn noch immer sind über 30 Prozent der Bevölkerung nicht geimpft. Die Gründe: In einer Studie der Uni Hamburg gaben 74 Prozent der Ungeimpften an, von der Sicherheit des Impfstoffs nicht restlos überzeugt zu sein. 67 Prozent erklärten, sie fühlten sich unter Druck gesetzt. Und Fakt ist: Anstatt die Menschen mit kreativen Angeboten (z. B. Impf-Fuffi, Bratwurst-Aktionen) und verständnisvoller Aufklärung zu überzeugen, setzte die Politik in den vergangenen Monaten voll auf Impf-Druck. ► Kostenlose Corona-Tests wurden abgeschafft. Ungeimpfte müssen draufzahlen, wenn sie unter 3G-Bedingungen ins Restaurant oder ins Kino wollen. Vielerorts werden ungeimpfte Bürger mit der 2G-Regel komplett aus Büchereien, Kulturbetrieben und Gaststätten ausgesperrt. Auch Interessant Das Resultat? Verheerend. Die Zahl der Erst-Impfungen sinkt seit Monaten. Vergangene Woche gab es nur noch rund 218 000 Impf-Neulinge – Negativ-Rekord. Jetzt fordern Politiker und Experten: Schluss mit dem Impf-Druck! Es braucht einen wirksamen Impf-Ruck. Lesen Sie auch Bayern-Profi ungeimpft Stiko-Chef Mertens verteidigt Kimmich Deutschlands wichtigster Impf-Experte Prof. Mertens stellt sich hinter den Fußball-Profi. Die Kritikwelle an Kimmich bezeichnet der Chef der Ständigen Impfkommission (Stiko), Prof. Thomas Mertens (71) als „grenzenlosen Unfug“. Mertens zu BILD: „Wir sollten Skeptiker und Unwillige besser mit guten Argumenten und einfach zugänglichen Impf-Angeboten überzeugen.“ Auch Bundestags-Vize Wolfgang Kubicki (69, FDP) fordert in BILD einen Strategie-Wechsel: „Weg von der Drohung, hin zu niedrigschwelligen und gegebenenfalls Anreiz-orientierten Impfangeboten.“ SPD-Fraktionschef Rolf Mützenich (62) setzt auf Motivation und Vorbilder. „Prominente, die sich zum Impfen“, bekennen, das sei „eine gute Maßnahme“. Vorbilder dienten dazu, „die Impfbereitschaft noch zu vergrößern“. Das sagen die Bayern-Granden Vorstandsvorsitzender Oliver Kahn (52): „Zunächst einmal ist es wichtig, dass wir eine klare Haltung haben, dass wir es allen nur empfehlen können, sich zu impfen. Das haben wir unterstrichen durch mehrere Aktionen. Letztendlich muss man das respektieren, wenn der eine oder andere eben eine andere Meinung hat. Es ist ganz wichtig - und es ist unsere Pflicht als Verein -, ständig Aufklärungsleistung zu zeigen.“ Da kommen Sie nie drauf! Hamann enthüllt kuriosen Kahn-Spitznamen 00:43 Quelle: BILD Teilen Twittern per Mail versenden Vereinspräsident Herbert Hainer (67): „Der FC Bayern unterstützt die Impfaktion nachhaltig. Am Ende des Tages gibt es keinen Impfzwang bei uns. Es ist die Entscheidung eines jeden einzelnen, und das muss man akzeptieren. Joshua Kimmich hat ja gesagt, vielleicht lässt er sich ja auch noch impfen. Mich würde das freuen.“ Ex-Präsident Uli Hoeneß (69): „Ich habe eine Meinung dazu, aber die sage ich ihm nur selber.” Darum lassen wir uns nicht impfen Auch andere Deutsche wollen ich nicht impfen lassen und nennen dafür Gründe: Radio-Moderatorin Freddy Holzapfel (43, „Radio saw“) aus Leipzig: „Ich lasse mich noch nicht impfen, obwohl ich keine Impfgegnerin bin. Ich bin skeptisch und habe eine Blutgerinnungsstörung. Es ist meine ganz persönliche Entscheidung. Die Konsequenzen im Alltag tun weh. Der Opernball am Wochenende fällt wegen 2G flach.“ Auch Rentner Werner Billmann (70) aus München ist noch nicht geimpft: „Ich schätze für mich einfach die Gefahr von Corona nicht so hoch ein, obwohl ich 70 Jahre alt bin und Bluthochdruck habe. Die Impfstoffe wurden bisher nur bedingt zugelassen und deshalb will ich noch abwarten. Die verpflichtenden Tests mache ich nur unter Protest. Problematisch finde ich, dass die Geimpften gar nicht mehr getestet werden.“","https://bilder.bild.de/fotos-skaliert/die-grosse-kimmich-debatte-impf-ruck-statt-impf-druck-6de68c20c4e249f9b6d48a6f1d3e469c-78059412/5,w=120,c=0.bild.jpg",bild,de,The big Kimmich debate - vaccination rush instead of vaccination pressure,Bayern star Kimmich has sparked a huge debate with his confession that he hasn't been vaccinated! Photo: Getty Images,0.3619343042373657,0.11855727434158325,0.519508421421051,0.27521488070487976,0.10491038113832474,0.6198747158050537,0.4529440104961395,0.11041918396949768,0.4366368055343628,0.280156672000885,0.10661042481660843,0.6132329106330872
1,194,Nach Putsch im Sudan: UN-Sicherheitsrat kommt zu Dringlichkeitssitzung zusammen,https://www.faz.net/aktuell/nach-putsch-im-sudan-dringlichkeitssitzung-im-un-sicherheitsrat-17602831.html,,,,Nach dem Putsch im Sudan schießen Soldaten auf Demonstranten. Amerika stoppt vorerst Hilfen in Höhe von 700 Millionen Dollar. An diesem Dienstag will der UN-Sicherheitsrat über die Lage beraten.,,2021-10-26 06:04:07,"N ach dem Putsch im Sudan will der UN-Sicherheitsrat sich am Dienstag in einer Dringlichkeitssitzung mit der Lage in dem ostafrikanischen Land beschäftigen. Auf Anfrage der USA, Großbritanniens, Frankreichs, Estlands, Irlands und Norwegens wird sich das mächtigste UN-Gremium voraussichtlich am Nachmittag New Yorker Zeit hinter verschlossenen Türen treffen. Die Botschafterinnen und Botschafter kommen an diesem Tag von einer gemeinsamen Arbeitsreise aus der Sahelzone zurück in die Vereinigten Staaten. Zuvor hatte der höchste Militärvertreter im Sudan, General Abdel Fattah al-Burhan, am Montag die Entmachtung der zivilen Regierungsmitglieder verkündet - im ganzen Land werde der Ausnahmezustand verhängt. Ministerpräsident Abdullah Hamduk, der seit August 2019 gemeinsam mit Al-Burhan an der Spitze der Übergangsregierung stand, wurde nach einer Mitteilung des Informationsministeriums von Angehörigen des Militärs an einen unbekannten Ort verschleppt. Nach Einschätzung der Vereinten Nationen hat das Militär die Kontrolle über die Hauptstadt Khartum übernommen. Der Flughafen, Brücken und das Staatsfernsehen seien in der Hand der Streitkräfte und die Eingänge in die Stadt versperrt. Demonstranten versuchten, ins Armeehauptquartier einzudringen „Hier brennen noch immer Barrikaden, und wir können gelegentlich Schüsse hören, daher besteht natürlich die Gefahr, dass es zu mehr Gewalt oder Spannungen kommt, wenn die Nacht hereinbricht“, sagte der UN-Sonderbeauftragte für Sudan, der deutsche Volker Perthes, mit Blick auf anhaltende Demokratie-Proteste gegen die Armee. „Einige Demonstranten versuchten heute, in das Armeehauptquartier hier in Khartum einzudringen. Wir haben dann Schüsse und Verletzungen gesehen, können aber keine Details bestätigen.“ Mehr zum Thema 1 / Militärputsch in Sudan : Eine gewagte Konstruktion kommt an ihr Ende Christian Meier, Tel Aviv Veröffentlicht/Aktualisiert: Empfehlungen: 1 Putsch in Sudan : Die nächste Konterrevolution Ein Kommentar von Rainer Hermann Veröffentlicht/Aktualisiert: Empfehlungen: 4 Spannungen in Sudan : Demonstranten fordern Militärputsch Christian Meier, Tel Aviv Veröffentlicht/Aktualisiert: Empfehlungen: 5 Ein dpa-Reporter vor Ort beobachtete, dass tausende Demonstranten auf den Straßen Khartums gegen die Übernahme der Regierung durch die Armee demonstrierten. Nach Angaben von Ärzten soll es bei Protesten mindestens zwei Tote und rund 80 Verletzte gegeben haben. Seit Monaten kommt es im Sudan immer wieder zu Protesten von Menschen, die politische und wirtschaftliche Reformen fordern. Das Militär werde den Übergang zur Demokratie vollziehen, versprach General Al-Burhan. Das Ziel sei es, die Führung des Landes nach Wahlen im Juli 2023 an eine zivile Regierung zu übergeben. Hinweise auf einen Putsch hatten sich am frühen Montagmorgen verdichtet. Das Internet, das Mobilfunknetz und Teile des Festnetzes waren seit den frühen Morgenstunden nicht mehr zugänglich. „Im Zusammenhang mit innenpolitischen Unruhen wurden in Khartum weiträumig Brücken- und Straßensperren errichtet, sowohl durch das Militär als auch im Rahmen von Demonstrationen,“ sagte das Auswärtige Amt in einer Mitteilung. Mitglieder der Übergangsregierung und mehrere Minister seien ebenfalls festgenommen worden, so das Informationsministerium. Nach UN-Angaben seien auch Journalisten in Gewahrsam genommen worden. Eine Sprecherin des Weißen Hauses sagte am Montag, man sei „zutiefst beunruhigt“ über die Berichte aus dem Sudan. „Wir lehnen das Vorgehen des Militärs ab und fordern die sofortige Freilassung des Premierministers und anderer, die unter Hausarrest gestellt wurden.“ Das Vorgehen stehe im „krassen Gegensatz zum Willen des sudanesischen Volkes und seinem Streben nach Frieden, Freiheit und Gerechtigkeit“. Amerika stoppt 700-Millionen-Hilfe Der Sprecher des US-Außenministeriums, Ned Price, sagte, Hilfen in Höhe von 700 Millionen US-Dollar, die für die Unterstützung des demokratischen Übergangs im Sudan geplant gewesen seien, würden zunächst gestoppt. US-Außenminister Antony Blinken kündigte an, weitere Schritte abzuwägen. Der EU-Außenbeauftragte Josep Borrell sowie Frankreichs Präsident Emmanuel Macron und UN-Generalsekretär António Guterres verlangten die Freilassung Hamduks. Großbritannien kritisierte den Putsch scharf. Der Sudan wurde fast 30 Jahre lang von Omar al-Baschir regiert. Der Langzeit-Machthaber wurde im April 2019 durch monatelange Massenproteste und einen Militärputsch aus dem Amt getrieben. Daraufhin einigten sich das Militär und die zivile Opposition auf eine gemeinsame Übergangsregierung, die den Weg zu Wahlen ebnen sollte. Es folgten zahlreiche Reformen, durch die sich das ölreiche aber verarmte Land aus einer jahrzehntelangen Isolation befreien konnte. Im Mai gewährten internationale Geber, darunter auch Deutschland, dem Sudan einen milliardenschweren Schuldenerlass, um den friedlichen Übergang zur Demokratie zu unterstützen. Allerdings hat sich die wirtschaftliche Lage für viele Menschen nicht verbessert: nach Angaben der Vereinten Nationen sind die Preise für Lebensmittel und Treibstoff in den vergangenen Monaten in die Höhe geschossen. Mehr als die Hälfte der Bewohner des Landes benötigten humanitäre Hilfe.",,faz,de,After coup in Sudan: UN Security Council meets for emergency meeting,"After the coup in Sudan, soldiers shoot at demonstrators. America is temporarily stopping aid worth $700 million. The UN Security Council wants to discuss the situation this Tuesday.",0.37005680799484253,0.1532002091407776,0.47674301266670227,0.43779122829437256,0.24055805802345276,0.32165077328681946,0.25551915168762207,0.11162814497947693,0.6328526735305786,0.2676759362220764,0.17802108824253082,0.554302990436554
2,2747,An deutsch-polnischer Grenze - Rechtsextreme mit Machete und Schlagstöcken aufgegriffen,https://www.bild.de/politik/inland/politik-inland/an-deutsch-polnischer-grenze-rechtsextreme-mit-machete-und-schlagstoecken-aufgeg-78044740.bild.html,"['Politik-Inland', 'Guben', 'Migrationspolitik', 'Rechtsextremismus', 'Polizei', 'Lukaschenko Alexander']",,,Die Polizei sprach Platzverweise für die selbsternannten „Grenzschützer“ aus. Foto: MICHELE TANTUSSI/REUTERS,,2021-10-24 12:41:35,"Großer Einsatz gegen selbsternannte rechtsextreme „Grenzschützer“ bei Guben (Brandenburg)! An der deutsch-polnischen Grenze hat die Polizei in der Nacht zu Sonntag rund 50 Verdächtige aufgespürt. Die Personen entstammten dem Umfeld der rechtsextremen Splitterpartei „Der Dritte Weg“ und waren auf einem sogenannten „Grenzgang“, zu dem die Partei aufgerufen hatte. Ihr Ziel: Migranten vom Grenzübertritt nach Deutschland abhalten! Die Polizisten überprüften die Verdächtigten, stellten Pfeffersprays, ein Bajonett, eine Machete und Schlagstöcke sicher. Gegen die Eigentümer der Gegenstände wurden laut Polizei Strafverfahren eingeleitet. ▶︎ Die größte Personengruppe, etwa 30 Menschen, sei bereits vor Mitternacht beim Dorf Groß Gastrose angetroffen worden. Außerdem habe man am Neiße-Damm einige Personen aufgespürt sowie vereinzelt im Stadtgebiet von Guben. Auch Interessant Fußgänger am Grenzübergang zwischen Deutschland und Polen in Guben Foto: MICHELE TANTUSSI/REUTERS ▶︎ Die Personen haben laut Polizei allesamt Platzverweise für die Grenzregion um Guben im Landkreis Spree-Neiße erhalten. Die Aufgegriffenen stammten zum Teil aus der unmittelbaren Umgebung, etliche seien aber auch aus anderen Bundesländern angereist. Lesen Sie auch Seehofer im Interview Müssen sich Europäer einmauern? Der Bundesinnenminister über Zuwanderungs­zahlen und ­einen verstärkten Grenzschutz. Die Polizei werde das Grenzgebiet auch weiterhin im Blick behalten, hieß es am frühen Morgen. Man sei mit zahlreichen Einsatzkräften vor Ort und arbeite eng mit der Bundespolizei zusammen.","https://bilder.bild.de/fotos-skaliert/an-deutsch-polnischer-grenze-rechtsextreme-mit-machete-und-bajonett-aufgegriffen-9faecef8409e4c37bc97ba755fe4baee-78045024/6,w=120,c=0.bild.jpg",bild,de,On the German-Polish border - right-wing extremists arrested with machetes and batons,The police expelled the self-proclaimed “border guards”. Photo: MICHELE TANTUSSI/REUTERS,0.2947539985179901,0.11976895481348038,0.5854771137237549,0.19212469458580017,0.12054263800382614,0.6873326897621155,0.3630882501602173,0.11551108211278915,0.5214006900787354,0.1553322970867157,0.14185212552547455,0.7028155326843262
3,1425,Polizeigewerkschafts-Chef - „Bundesregierung muss jetzt handeln“,https://www.bild.de/politik/2021/politik/polizeigewerkschafts-chef-zur-krise-an-der-polnischen-grenze-bundesregierung-mus-78053820.bild.html,['Politik'],,,Die Lage an der polnischen Grenze ist dramatisch – doch die Bundesregierung tut zu wenig.Foto: BILD LIVE,,2021-10-25 10:55:28,"Die Lage an der deutsch-polnischen Grenze ist dramatisch : Immer mehr Flüchtlinge kommen hier an. Belarus-Diktator Alexander Lukaschenko (67) schickt sie auf die beschwerliche Reise durch Polen nach Deutschland. Der Vorsitzende der Bundespolizeigewerkschaft, Heiko Teggatz (48), fordert nun bei BILD Live: Die Bundesregierung muss jetzt handeln, auf die Krise reagieren! Sein Vorstoß: Deutschland soll „dieser EU-Binnengrenze zu Polen den Status einer Außengrenze verleihen.“ Dafür müsse die Grenze von der EU lediglich „notifiziert“ werden, wie Teggatz erklärt. Denn dann „kann die Bundespolizei dort auch direkt an der Grenze grenzpolizeiliche Maßnahmen treffen“. Von der verstärkten Schleierfahndung, initiiert durch Bundesinnenminister Horst Seehofer (72, CSU), hält der Gewerkschafts-Chef wenig. Seine Forderung: Stationäre Grenzkontrollen. „Wenn ich ernsthaft engmaschig kontrollieren möchte, dann bleibt mir gar nichts anderes übrig, als die stationären Grenzkontrollen endlich umzusetzen.“ Das spare Personal und ermögliche die Maßnahmen direkt vor Ort. Im Klartext: Deutschland soll zeitweise die Schotten dichtmachen! Lesen Sie auch BILD am neuen Eisernen Vorhang in Polen Schickt Lukaschenko Flüchtlinge in den Kältetod? Sie wurden mit wenig Proviant in die Kälte der polnischen Wälder geschickt – beinahe in den Tod. An deutsch-polnischer Grenze Rechtsextreme mit Machete und Schlagstöcken aufgegriffen Die Polizei sprach Platzverweise für die selbsternannten „Grenzschützer“ aus. Denn: Die Zahl der festgestellten Grenzübertritte ist laut Teggatz stark gestiegen. „Aktuell reden wir von mehr als 6500 Feststellungen an der deutsch-polnischen Grenze.“ Vor ein paar Wochen seien es noch 3000 gewesen. Auch Interessant Für selbst ernannte Grenzschützer der rechtsextremen Kleinpartei „III. Weg“, die Sonntagnacht einen „Grenzgang“ durchführten, hat Teggatz eine klare Botschaft: „So etwas darf man nicht dulden (…). Der vierte Weg führt hoffentlich ins Gefängnis dieser Menschen.“ Der Grenzschutz sei immer noch Aufgabe des Staates, gegen solche Bürgerwehren müsse man „mit aller Härte durchgreifen.“","https://bilder.bild.de/fotos-skaliert/polizeigewerkschafts-chef-zur-krise-an-der-polnischen-grenze-bundesregierung-muss-jetzt-handeln-549741e8ce854e5b990542d31871f09b-78054662/3,w=120,c=0.bild.jpg",bild,de,Police union boss - “Federal government must act now”,The situation at the Polish border is dramatic - but the federal government is not doing enough. Photo: BILD LIVE,0.3079310357570648,0.1619754135608673,0.5300935506820679,0.3375406265258789,0.18738120794296265,0.47507816553115845,0.27439430356025696,0.16579343378543854,0.5598123073577881,0.1899041086435318,0.345968633890152,0.46412724256515503
4,1841,Berlin: Nach tödlichem Tram-Unfall – Gaffer machen Selfies mit Leiche,https://www.t-online.de/region/berlin/news/id_91023042/berlin-nach-toedlichem-tram-unfall-gaffer-machen-selfies-mit-leiche.html,,,,"Schreckliche Bilder aus Berlin: Eine Straßenbahn erfasst einen Toyota, schleift ihn über die Gleise. Die Menschen im Auto werden schwer verletzt, zwei sterben. Und Schaulustige machen Fotos. Bei einem Zusammenstoß eines Autos mit einer Straßenbahn in Berlin-Lichtenberg sind zwei Menschen gestorben,",,2021-10-25 06:43:08,,https://bilder.t-online.de/b/91/02/33/46/id_91023346/640/c_Master-16-9-Large/tid_da/waehrend-helfer-um-das-leben-der-unfallopfer-kaempften-machten-gaffer-fotos-ein-toyota-ist-von-einer-strassenbahn-meterweit-mitgeschleift-worden-.jpg,t-online,de,Berlin: After fatal tram accident – ​​gawkers take selfies with corpse,Horrible pictures from Berlin: A tram hits a Toyota and drags it along the tracks. The people in the car are seriously injured and two die. And onlookers take photos. Two people died when a car collided with a tram in Berlin-Lichtenberg.,0.3980042636394501,0.14410603046417236,0.45788970589637756,0.3467966616153717,0.18528811633586884,0.46791520714759827,0.03989267721772194,0.036360472440719604,0.9237468838691711,0.0466281995177269,0.053039032965898514,0.9003327488899231
5,1759,Neue Corona-Welle in China: Strenge Corona-Maßnahmen für Zehntausende,https://www.merkur.de/politik/neue-corona-welle-in-china-strenge-corona-massnahmen-fuer-zehntausende-91072749.html?cmp=defrss,,['Dpa Deutsche Presse-Agentur'],,China stemmt sich mit strengen Maßnahmen gegen eine neue Welle von Corona-Infektionen.,,2021-10-25 07:37:34,"China stemmt sich mit strengen Maßnahmen gegen eine neue Welle von Corona-Infektionen. Peking - Behörden ordneten am Montag den Lockdown des nordchinesischen Landkreises Ejin an, der sich im Grenzgebiet zur Mongolei befindet. Zehntausende Menschen wurden aufgefordert, ihre Wohnungen nicht mehr zu verlassen. Aus Ejin stammen rund ein Drittel der etwa 150 Infektionen, die seit der vergangenen Woche in China registriert wurden. Die chinesische Regierung verfolgt eine strikte «Null-Covid-Strategie». Mit Ausgangssperren, Massentests, Kontaktverfolgung, Quarantäne und strengen Einreisebeschränkungen hat das Land das Coronavirus bisher weitgehend im Griff. Jedoch kommt es immer wieder zu kleineren Ausbrüchen, die dann mit großem Aufwand unter Kontrolle gebracht werden. Wie Staatsmedien berichteten, wurde die aktuelle Welle durch eine Einschleppung des Virus aus dem Ausland ausgelöst. Eine chinesische Reisegruppe, die in mehreren Provinzen unterwegs war, verbreitete das Virus dann im Land. Mittlerweile sind mindestens elf Provinzen von dem Ausbruch betroffen. Auch Peking verzeichnete einige Infektionen. Ein für kommenden Sonntag in der Hauptstadt geplanter Marathon wurde abgesagt. Der aktuelle Ausbruch befinde sich «in einer rasanten Entwicklungsphase», wurde ein stellvertretender Direktor des Seuchenkontrollbüros der Gesundheitskommission zitiert. Man erwarte, dass die Zahl der entdeckten Fälle in den nächsten Tagen weiter steigen wird. (dpa)",https://www.merkur.de/bilder/2021/10/25/91072749/26722156-eine-mitarbeiterin-des-gesundheitswesens-zieht-eine-spritze-mit-impfstoff-auf-bereits-777-millionen-chinesen-sind-vollstaendig-geimpft-das-land-gibt-2e01.jpg,merkur,de,New Corona wave in China: Strict Corona measures for tens of thousands,China is taking strict measures to combat a new wave of corona infections.,0.5566754341125488,0.14345981180667877,0.2998647391796112,0.5015895962715149,0.15278740227222443,0.34562304615974426,0.24600839614868164,0.14609338343143463,0.6078982353210449,0.3228655159473419,0.2868865430355072,0.3902479112148285
6,1746,Nordrhein-Westfalen: Armin Laschet (CDU) legt Amt als Ministerpräsident nieder,https://www.spiegel.de/politik/deutschland/nordrhein-westfalen-armin-laschet-cdu-legt-amt-als-ministerpraesident-nieder-a-687484ea-9148-4c6f-a133-ea075bb62bcd#ref=rss,,,,Armin Laschets Zeit als Ministerpräsident von Nordrhein-Westfalen geht zu Ende. Der CDU-Chef wechselt als Abgeordneter in den Bundestag. Zunächst bleibt er aber geschäftsführend im Amt.,Armin Laschets Zeit als Ministerpräsident von Nordrhein-Westfalen geht zu Ende. Der CDU-Chef wechselt als Abgeordneter in den Bundestag. Zunächst bleibt er aber geschäftsführend im Amt.,2021-10-25 07:50:36,Armin Laschets Zeit als Ministerpräsident von Nordrhein-Westfalen geht zu Ende. Der CDU-Chef wechselt als Abgeordneter in den Bundestag. Zunächst bleibt er aber geschäftsführend im Amt.,https://cdn.prod.www.spiegel.de/images/c3e7cefe-913e-49e4-a1ad-bfc9a8bb896f_w520_r2.08_fpx57.34_fpy50.jpg,spiegel,de,North Rhine-Westphalia: Armin Laschet (CDU) resigns as Prime Minister,"Armin Laschet's time as Prime Minister of North Rhine-Westphalia is coming to an end. The CDU leader is moving to the Bundestag as a member of parliament. For now, however, he will remain in office as managing director.",0.4373464286327362,0.18470469117164612,0.3779488801956177,0.3740239143371582,0.20581969618797302,0.4201563596725464,0.28895461559295654,0.1772102564573288,0.5338351130485535,0.3641979992389679,0.25887760519981384,0.37692445516586304
7,327,Berlin: Weiteres Todesopfer des Anschlags am Breitscheidplatz,https://www.t-online.de/region/berlin/news/id_91031646/berlin-weiteres-todesopfer-des-anschlags-am-breitscheidplatz.html,,,,Fünf Jahre nach dem Terroranschlag auf den Berliner Weihnachtsmarkt ist ein 49-Jähriger gestorben. Der Mann war unmittelbar nach dem Attentat Opfern zur Hilfe geeilt und dabei schwer verletzt worden. Nach dem islamistischen Terroranschlag auf den Berliner Weihnachtsmarkt im Jahr 2016 ist ein Ersthel,,2021-10-26 03:37:25,,https://bilder.t-online.de/b/91/03/23/56/id_91032356/640/c_Master-16-9-Large/tid_da/rosen-und-kerzen-liegen-auf-dem-weihnachtsmarkt-am-breitscheidplatz-fuenf-jahre-nach-dem-islamistischen-terroranschlag-ist-ein-ersthelfer-gestorben-.jpg,t-online,de,Berlin: Another fatality in the attack on Breitscheidplatz,"Five years after the terrorist attack on the Berlin Christmas market, a 49-year-old has died. The man rushed to help victims immediately after the attack and was seriously injured. After the Islamist terrorist attack on the Berlin Christmas market in 2016, there is a first response",0.2843925654888153,0.12675678730010986,0.5888506770133972,0.11289353668689728,0.09379016607999802,0.7933163642883301,0.12680308520793915,0.10028675198554993,0.7729101777076721,0.12729588150978088,0.13679450750350952,0.735909640789032
8,962,Corona-Pandemie: Corona-Zahlen steigen weiter - Regierung mahnt zur Vorsicht,https://www.t-online.de/nachrichten/deutschland/id_91026248/corona-pandemie-corona-zahlen-steigen-weiter-regierung-mahnt-zur-vorsicht.html,,,,"Berlin (dpa) - Angesichts weiter steigender Corona-Zahlen wirbt die Bundesregierung erneut für mehr Impfungen und mahnt zur Vorsicht im Herbst und Winter. Die Pandemie sei ""überhaupt noch nicht vorbei"", sagte Regierungssprecher Steffen Seibert am Montag in Berlin. Man sei daher sehr gut beraten, bes",,2021-10-25 15:56:00,,https://bilder.t-online.de/b/91/02/62/52/id_91026252/tid_da/eine-tafel-mit-der-aufschrift-innengastronomie-nur-2g-geimpft-genesen-steht-in-einem-gasthaus-in-braunschweig-.jpg,t-online,de,Corona pandemic: Corona numbers continue to rise - government urges caution,"Berlin (dpa) - In view of the continuing rise in corona numbers, the federal government is once again promoting more vaccinations and urging caution in autumn and winter. The pandemic is “not over at all,” said government spokesman Steffen Seibert in Berlin on Monday. You are therefore very well advised, especially",0.2989402115345001,0.08378974348306656,0.6172700524330139,0.23082692921161652,0.11805648356676102,0.6511166095733643,0.5710886716842651,0.10737596452236176,0.3215353786945343,0.3648422360420227,0.2215331345796585,0.41362467408180237
9,1353,Putin-Poker um Nord Stream 2? Warum die EU aus der Energiepreis-Misere jetzt Schlüsse ziehen muss,https://www.tz.de/politik/nord-stream-2-energie-gaskrise-russland-europa-baerbock-eu-pipeline-putin-koalition-zr-91072004.html?cmp=defrss,,['Anna-Katharina Ahnefeld'],,Hohe Preise für Strom und Gas alarmieren die EU-Länder. Russland als großer Gas-Player tritt dabei in den Vordergrund. Der Druck auf den Start von Nord Stream 2 steigt.,,2021-10-25 11:38:51,,https://www.tz.de/bilder/2021/10/19/91072004/27362689-bundeskanzlerin-angela-merkel-und-der-russische-praesident-wladimir-putin-verabschieden-sich-am-ende-ihres-treffens-im-kreml-2pCGP4qUEV01.jpg,tz,de,Putin poker over Nord Stream 2? Why the EU must now draw conclusions from the energy price misery,"High prices for electricity and gas are alarming EU countries. Russia, as a major gas player, comes to the fore. The pressure on the start of Nord Stream 2 is increasing.",0.3036574125289917,0.15456439554691315,0.5417782068252563,0.17081418633460999,0.1553490310907364,0.6738368272781372,0.5335975885391235,0.09096784144639969,0.3754344880580902,0.3417329788208008,0.14110197126865387,0.5171650648117065
