[[{'label': 'positive', 'score': 0.280156672000885}, {'label': 'neutral', 'score': 0.10661042481660843}, {'label': 'negative', 'score': 0.6132329106330872}]]
[[{'label': 'positive', 'score': 0.2676759362220764}, {'label': 'neutral', 'score': 0.17802108824253082}, {'label': 'negative', 'score': 0.554302990436554}]]
[[{'label': 'positive', 'score': 0.1553322970867157}, {'label': 'neutral', 'score': 0.14185212552547455}, {'label': 'negative', 'score': 0.7028155326843262}]]
[[{'label': 'positive', 'score': 0.1899041086435318}, {'label': 'neutral', 'score': 0.345968633890152}, {'label': 'negative', 'score': 0.46412724256515503}]]
[[{'label': 'positive', 'score': 0.0466281995177269}, {'label': 'neutral', 'score': 0.053039032965898514}, {'label': 'negative', 'score': 0.9003327488899231}]]
[[{'label': 'positive', 'score': 0.3228655159473419}, {'label': 'neutral', 'score': 0.2868865430355072}, {'label': 'negative', 'score': 0.3902479112148285}]]
[[{'label': 'positive', 'score': 0.3641979992389679}, {'label': 'neutral', 'score': 0.25887760519981384}, {'label': 'negative', 'score': 0.37692445516586304}]]
[[{'label': 'positive', 'score': 0.12729588150978088}, {'label': 'neutral', 'score': 0.13679450750350952}, {'label': 'negative', 'score': 0.735909640789032}]]
[[{'label': 'positive', 'score': 0.3648422360420227}, {'label': 'neutral', 'score': 0.2215331345796585}, {'label': 'negative', 'score': 0.41362467408180237}]]
[[{'label': 'positive', 'score': 0.3417329788208008}, {'label': 'neutral', 'score': 0.14110197126865387}, {'label': 'negative', 'score': 0.5171650648117065}]]
[[{'label': 'positive', 'score': 0.14290796220302582}, {'label': 'neutral', 'score': 0.09900136291980743}, {'label': 'negative', 'score': 0.758090615272522}]]
[[{'label': 'positive', 'score': 0.23249830305576324}, {'label': 'neutral', 'score': 0.1720324605703354}, {'label': 'negative', 'score': 0.5954692363739014}]]
[[{'label': 'positive', 'score': 0.1337851881980896}, {'label': 'neutral', 'score': 0.2505016624927521}, {'label': 'negative', 'score': 0.6157131791114807}]]
[[{'label': 'positive', 'score': 0.08167562633752823}, {'label': 'neutral', 'score': 0.06432032585144043}, {'label': 'negative', 'score': 0.8540040254592896}]]
[[{'label': 'positive', 'score': 0.2751275599002838}, {'label': 'neutral', 'score': 0.2353445589542389}, {'label': 'negative', 'score': 0.4895278513431549}]]
[[{'label': 'positive', 'score': 0.20696315169334412}, {'label': 'neutral', 'score': 0.14313627779483795}, {'label': 'negative', 'score': 0.6499005556106567}]]
[[{'label': 'positive', 'score': 0.16300785541534424}, {'label': 'neutral', 'score': 0.17593014240264893}, {'label': 'negative', 'score': 0.6610619425773621}]]
[[{'label': 'positive', 'score': 0.06724832952022552}, {'label': 'neutral', 'score': 0.06764303892850876}, {'label': 'negative', 'score': 0.8651086091995239}]]
[[{'label': 'positive', 'score': 0.21883422136306763}, {'label': 'neutral', 'score': 0.22657789289951324}, {'label': 'negative', 'score': 0.5545879006385803}]]
[[{'label': 'positive', 'score': 0.4911734461784363}, {'label': 'neutral', 'score': 0.1477961391210556}, {'label': 'negative', 'score': 0.3610304296016693}]]
[[{'label': 'positive', 'score': 0.9085802435874939}, {'label': 'neutral', 'score': 0.04440462961792946}, {'label': 'negative', 'score': 0.04701503366231918}]]
[[{'label': 'positive', 'score': 0.10383784770965576}, {'label': 'neutral', 'score': 0.07402300834655762}, {'label': 'negative', 'score': 0.8221391439437866}]]
[[{'label': 'positive', 'score': 0.2840231955051422}, {'label': 'neutral', 'score': 0.13132135570049286}, {'label': 'negative', 'score': 0.5846554040908813}]]
[[{'label': 'positive', 'score': 0.23208875954151154}, {'label': 'neutral', 'score': 0.4209814965724945}, {'label': 'negative', 'score': 0.34692978858947754}]]
[[{'label': 'positive', 'score': 0.23420031368732452}, {'label': 'neutral', 'score': 0.17254774272441864}, {'label': 'negative', 'score': 0.5932518839836121}]]
[[{'label': 'positive', 'score': 0.3638440668582916}, {'label': 'neutral', 'score': 0.2094617635011673}, {'label': 'negative', 'score': 0.42669418454170227}]]
[[{'label': 'positive', 'score': 0.12265077233314514}, {'label': 'neutral', 'score': 0.049322620034217834}, {'label': 'negative', 'score': 0.8280265927314758}]]
