[[{'label': 'positive', 'score': 0.3619343042373657}, {'label': 'neutral', 'score': 0.11855727434158325}, {'label': 'negative', 'score': 0.519508421421051}]]
[[{'label': 'positive', 'score': 0.37005680799484253}, {'label': 'neutral', 'score': 0.1532002091407776}, {'label': 'negative', 'score': 0.47674301266670227}]]
[[{'label': 'positive', 'score': 0.2947539985179901}, {'label': 'neutral', 'score': 0.11976895481348038}, {'label': 'negative', 'score': 0.5854771137237549}]]
[[{'label': 'positive', 'score': 0.3079310357570648}, {'label': 'neutral', 'score': 0.1619754135608673}, {'label': 'negative', 'score': 0.5300935506820679}]]
[[{'label': 'positive', 'score': 0.3980042636394501}, {'label': 'neutral', 'score': 0.14410603046417236}, {'label': 'negative', 'score': 0.45788970589637756}]]
[[{'label': 'positive', 'score': 0.5566754341125488}, {'label': 'neutral', 'score': 0.14345981180667877}, {'label': 'negative', 'score': 0.2998647391796112}]]
[[{'label': 'positive', 'score': 0.4373464286327362}, {'label': 'neutral', 'score': 0.18470469117164612}, {'label': 'negative', 'score': 0.3779488801956177}]]
[[{'label': 'positive', 'score': 0.2843925654888153}, {'label': 'neutral', 'score': 0.12675678730010986}, {'label': 'negative', 'score': 0.5888506770133972}]]
[[{'label': 'positive', 'score': 0.2989402115345001}, {'label': 'neutral', 'score': 0.08378974348306656}, {'label': 'negative', 'score': 0.6172700524330139}]]
[[{'label': 'positive', 'score': 0.3036574125289917}, {'label': 'neutral', 'score': 0.15456439554691315}, {'label': 'negative', 'score': 0.5417782068252563}]]
[[{'label': 'positive', 'score': 0.3030226528644562}, {'label': 'neutral', 'score': 0.1902485340833664}, {'label': 'negative', 'score': 0.5067288279533386}]]
[[{'label': 'positive', 'score': 0.19396910071372986}, {'label': 'neutral', 'score': 0.11335340887308121}, {'label': 'negative', 'score': 0.6926774382591248}]]
[[{'label': 'positive', 'score': 0.3744252920150757}, {'label': 'neutral', 'score': 0.1825072318315506}, {'label': 'negative', 'score': 0.4430675208568573}]]
[[{'label': 'positive', 'score': 0.29358163475990295}, {'label': 'neutral', 'score': 0.12051279842853546}, {'label': 'negative', 'score': 0.5859055519104004}]]
[[{'label': 'positive', 'score': 0.5972912311553955}, {'label': 'neutral', 'score': 0.13980825245380402}, {'label': 'negative', 'score': 0.2629004418849945}]]
[[{'label': 'positive', 'score': 0.2711150646209717}, {'label': 'neutral', 'score': 0.11834442615509033}, {'label': 'negative', 'score': 0.610540509223938}]]
[[{'label': 'positive', 'score': 0.3121720254421234}, {'label': 'neutral', 'score': 0.16069453954696655}, {'label': 'negative', 'score': 0.5271334648132324}]]
[[{'label': 'positive', 'score': 0.5224468111991882}, {'label': 'neutral', 'score': 0.19386032223701477}, {'label': 'negative', 'score': 0.2836928963661194}]]
[[{'label': 'positive', 'score': 0.42488893866539}, {'label': 'neutral', 'score': 0.15370911359786987}, {'label': 'negative', 'score': 0.4214019179344177}]]
[[{'label': 'positive', 'score': 0.05489453673362732}, {'label': 'neutral', 'score': 0.1124756783246994}, {'label': 'negative', 'score': 0.8326297402381897}]]
[[{'label': 'positive', 'score': 0.46169421076774597}, {'label': 'neutral', 'score': 0.10148050636053085}, {'label': 'negative', 'score': 0.43682533502578735}]]
[[{'label': 'positive', 'score': 0.8149765133857727}, {'label': 'neutral', 'score': 0.07264332473278046}, {'label': 'negative', 'score': 0.11238014698028564}]]
[[{'label': 'positive', 'score': 0.26588594913482666}, {'label': 'neutral', 'score': 0.162283793091774}, {'label': 'negative', 'score': 0.5718302726745605}]]
[[{'label': 'positive', 'score': 0.5901480317115784}, {'label': 'neutral', 'score': 0.18622161448001862}, {'label': 'negative', 'score': 0.22363035380840302}]]
[[{'label': 'positive', 'score': 0.3033066987991333}, {'label': 'neutral', 'score': 0.1296945959329605}, {'label': 'negative', 'score': 0.5669987201690674}]]
[[{'label': 'positive', 'score': 0.5254083871841431}, {'label': 'neutral', 'score': 0.2194790095090866}, {'label': 'negative', 'score': 0.2551126182079315}]]
[[{'label': 'positive', 'score': 0.5070071220397949}, {'label': 'neutral', 'score': 0.12273698300123215}, {'label': 'negative', 'score': 0.37025585770606995}]]
[[{'label': 'positive', 'score': 0.28557372093200684}, {'label': 'neutral', 'score': 0.37978219985961914}, {'label': 'negative', 'score': 0.33464404940605164}]]
[[{'label': 'positive', 'score': 0.7103911638259888}, {'label': 'neutral', 'score': 0.1133749857544899}, {'label': 'negative', 'score': 0.17623388767242432}]]
[[{'label': 'positive', 'score': 0.29678234457969666}, {'label': 'neutral', 'score': 0.10357749462127686}, {'label': 'negative', 'score': 0.5996401309967041}]]
[[{'label': 'positive', 'score': 0.41001012921333313}, {'label': 'neutral', 'score': 0.14525096118450165}, {'label': 'negative', 'score': 0.4447389245033264}]]
[[{'label': 'positive', 'score': 0.4683712124824524}, {'label': 'neutral', 'score': 0.11620602011680603}, {'label': 'negative', 'score': 0.4154227077960968}]]
[[{'label': 'positive', 'score': 0.13905897736549377}, {'label': 'neutral', 'score': 0.0780821442604065}, {'label': 'negative', 'score': 0.7828589081764221}]]
[[{'label': 'positive', 'score': 0.5557605624198914}, {'label': 'neutral', 'score': 0.2063608169555664}, {'label': 'negative', 'score': 0.23787863552570343}]]
[[{'label': 'positive', 'score': 0.29358163475990295}, {'label': 'neutral', 'score': 0.12051279842853546}, {'label': 'negative', 'score': 0.5859055519104004}]]
[[{'label': 'positive', 'score': 0.290984570980072}, {'label': 'neutral', 'score': 0.19717270135879517}, {'label': 'negative', 'score': 0.5118427276611328}]]
[[{'label': 'positive', 'score': 0.5055261850357056}, {'label': 'neutral', 'score': 0.16718630492687225}, {'label': 'negative', 'score': 0.32728755474090576}]]
[[{'label': 'positive', 'score': 0.6330835819244385}, {'label': 'neutral', 'score': 0.13716204464435577}, {'label': 'negative', 'score': 0.22975441813468933}]]
[[{'label': 'positive', 'score': 0.24354593455791473}, {'label': 'neutral', 'score': 0.14462268352508545}, {'label': 'negative', 'score': 0.6118313670158386}]]
[[{'label': 'positive', 'score': 0.4468028247356415}, {'label': 'neutral', 'score': 0.15446802973747253}, {'label': 'negative', 'score': 0.3987290859222412}]]
[[{'label': 'positive', 'score': 0.3887346684932709}, {'label': 'neutral', 'score': 0.1960819661617279}, {'label': 'negative', 'score': 0.41518333554267883}]]
[[{'label': 'positive', 'score': 0.2443244755268097}, {'label': 'neutral', 'score': 0.20152594149112701}, {'label': 'negative', 'score': 0.5541495680809021}]]
[[{'label': 'positive', 'score': 0.5004816651344299}, {'label': 'neutral', 'score': 0.13884298503398895}, {'label': 'negative', 'score': 0.3606753349304199}]]
[[{'label': 'positive', 'score': 0.3086526393890381}, {'label': 'neutral', 'score': 0.10582209378480911}, {'label': 'negative', 'score': 0.5855252146720886}]]
[[{'label': 'positive', 'score': 0.6581780314445496}, {'label': 'neutral', 'score': 0.1554553508758545}, {'label': 'negative', 'score': 0.18636661767959595}]]
[[{'label': 'positive', 'score': 0.24558469653129578}, {'label': 'neutral', 'score': 0.1498376578092575}, {'label': 'negative', 'score': 0.6045776605606079}]]
[[{'label': 'positive', 'score': 0.4196970462799072}, {'label': 'neutral', 'score': 0.18959715962409973}, {'label': 'negative', 'score': 0.3907058537006378}]]
[[{'label': 'positive', 'score': 0.318573921918869}, {'label': 'neutral', 'score': 0.12636283040046692}, {'label': 'negative', 'score': 0.5550632476806641}]]
[[{'label': 'positive', 'score': 0.3846191465854645}, {'label': 'neutral', 'score': 0.32932087779045105}, {'label': 'negative', 'score': 0.2860599458217621}]]
[[{'label': 'positive', 'score': 0.277668297290802}, {'label': 'neutral', 'score': 0.11926817893981934}, {'label': 'negative', 'score': 0.6030634641647339}]]
[[{'label': 'positive', 'score': 0.5104777812957764}, {'label': 'neutral', 'score': 0.1154666319489479}, {'label': 'negative', 'score': 0.3740555942058563}]]
[[{'label': 'positive', 'score': 0.4792792499065399}, {'label': 'neutral', 'score': 0.2019505351781845}, {'label': 'negative', 'score': 0.318770170211792}]]
[[{'label': 'positive', 'score': 0.5937418937683105}, {'label': 'neutral', 'score': 0.1438131183385849}, {'label': 'negative', 'score': 0.26244500279426575}]]
[[{'label': 'positive', 'score': 0.28069406747817993}, {'label': 'neutral', 'score': 0.13212230801582336}, {'label': 'negative', 'score': 0.5871835947036743}]]
[[{'label': 'positive', 'score': 0.7240885496139526}, {'label': 'neutral', 'score': 0.10942317545413971}, {'label': 'negative', 'score': 0.16648820042610168}]]
[[{'label': 'positive', 'score': 0.5691495537757874}, {'label': 'neutral', 'score': 0.11809848248958588}, {'label': 'negative', 'score': 0.3127519190311432}]]
[[{'label': 'positive', 'score': 0.48830151557922363}, {'label': 'neutral', 'score': 0.18420906364917755}, {'label': 'negative', 'score': 0.32748943567276}]]
[[{'label': 'positive', 'score': 0.6898043751716614}, {'label': 'neutral', 'score': 0.09407467395067215}, {'label': 'negative', 'score': 0.21612097322940826}]]
[[{'label': 'positive', 'score': 0.5324367880821228}, {'label': 'neutral', 'score': 0.17699815332889557}, {'label': 'negative', 'score': 0.29056498408317566}]]
[[{'label': 'positive', 'score': 0.5368826389312744}, {'label': 'neutral', 'score': 0.19529880583286285}, {'label': 'negative', 'score': 0.26781851053237915}]]
