[[{'label': 'positive', 'score': 0.27521488070487976}, {'label': 'neutral', 'score': 0.10491038113832474}, {'label': 'negative', 'score': 0.6198747158050537}]]
[[{'label': 'positive', 'score': 0.43779122829437256}, {'label': 'neutral', 'score': 0.24055805802345276}, {'label': 'negative', 'score': 0.32165077328681946}]]
[[{'label': 'positive', 'score': 0.19212469458580017}, {'label': 'neutral', 'score': 0.12054263800382614}, {'label': 'negative', 'score': 0.6873326897621155}]]
[[{'label': 'positive', 'score': 0.3375406265258789}, {'label': 'neutral', 'score': 0.18738120794296265}, {'label': 'negative', 'score': 0.47507816553115845}]]
[[{'label': 'positive', 'score': 0.3467966616153717}, {'label': 'neutral', 'score': 0.18528811633586884}, {'label': 'negative', 'score': 0.46791520714759827}]]
[[{'label': 'positive', 'score': 0.5015895962715149}, {'label': 'neutral', 'score': 0.15278740227222443}, {'label': 'negative', 'score': 0.34562304615974426}]]
[[{'label': 'positive', 'score': 0.3740239143371582}, {'label': 'neutral', 'score': 0.20581969618797302}, {'label': 'negative', 'score': 0.4201563596725464}]]
[[{'label': 'positive', 'score': 0.11289353668689728}, {'label': 'neutral', 'score': 0.09379016607999802}, {'label': 'negative', 'score': 0.7933163642883301}]]
[[{'label': 'positive', 'score': 0.23082692921161652}, {'label': 'neutral', 'score': 0.11805648356676102}, {'label': 'negative', 'score': 0.6511166095733643}]]
[[{'label': 'positive', 'score': 0.17081418633460999}, {'label': 'neutral', 'score': 0.1553490310907364}, {'label': 'negative', 'score': 0.6738368272781372}]]
[[{'label': 'positive', 'score': 0.21530798077583313}, {'label': 'neutral', 'score': 0.13081322610378265}, {'label': 'negative', 'score': 0.6538788080215454}]]
[[{'label': 'positive', 'score': 0.1319296807050705}, {'label': 'neutral', 'score': 0.1352716088294983}, {'label': 'negative', 'score': 0.7327987551689148}]]
[[{'label': 'positive', 'score': 0.19357168674468994}, {'label': 'neutral', 'score': 0.17067043483257294}, {'label': 'negative', 'score': 0.6357579231262207}]]
[[{'label': 'positive', 'score': 0.17177662253379822}, {'label': 'neutral', 'score': 0.08567439019680023}, {'label': 'negative', 'score': 0.7425490021705627}]]
[[{'label': 'positive', 'score': 0.38886016607284546}, {'label': 'neutral', 'score': 0.1832304298877716}, {'label': 'negative', 'score': 0.42790934443473816}]]
[[{'label': 'positive', 'score': 0.6236433386802673}, {'label': 'neutral', 'score': 0.09640317410230637}, {'label': 'negative', 'score': 0.2799534499645233}]]
[[{'label': 'positive', 'score': 0.467781662940979}, {'label': 'neutral', 'score': 0.2412487119436264}, {'label': 'negative', 'score': 0.2909696400165558}]]
[[{'label': 'positive', 'score': 0.13916002213954926}, {'label': 'neutral', 'score': 0.11802013218402863}, {'label': 'negative', 'score': 0.7428198456764221}]]
[[{'label': 'positive', 'score': 0.0795377567410469}, {'label': 'neutral', 'score': 0.16190356016159058}, {'label': 'negative', 'score': 0.7585586905479431}]]
[[{'label': 'positive', 'score': 0.5426192879676819}, {'label': 'neutral', 'score': 0.10812126845121384}, {'label': 'negative', 'score': 0.3492594063282013}]]
[[{'label': 'positive', 'score': 0.9341469407081604}, {'label': 'neutral', 'score': 0.0402195043861866}, {'label': 'negative', 'score': 0.025633500888943672}]]
[[{'label': 'positive', 'score': 0.2726944088935852}, {'label': 'neutral', 'score': 0.19978873431682587}, {'label': 'negative', 'score': 0.5275168418884277}]]
[[{'label': 'positive', 'score': 0.3109913468360901}, {'label': 'neutral', 'score': 0.4122404456138611}, {'label': 'negative', 'score': 0.2767682671546936}]]
[[{'label': 'positive', 'score': 0.2023819088935852}, {'label': 'neutral', 'score': 0.1930343061685562}, {'label': 'negative', 'score': 0.604583740234375}]]
[[{'label': 'positive', 'score': 0.551814079284668}, {'label': 'neutral', 'score': 0.1834794133901596}, {'label': 'negative', 'score': 0.26470643281936646}]]
[[{'label': 'positive', 'score': 0.4771326780319214}, {'label': 'neutral', 'score': 0.19977708160877228}, {'label': 'negative', 'score': 0.32309022545814514}]]
[[{'label': 'positive', 'score': 0.11936414241790771}, {'label': 'neutral', 'score': 0.056682076305150986}, {'label': 'negative', 'score': 0.8239538073539734}]]
[[{'label': 'positive', 'score': 0.37400344014167786}, {'label': 'neutral', 'score': 0.24643544852733612}, {'label': 'negative', 'score': 0.37956109642982483}]]
[[{'label': 'positive', 'score': 0.42950639128685}, {'label': 'neutral', 'score': 0.2193080335855484}, {'label': 'negative', 'score': 0.35118550062179565}]]
[[{'label': 'positive', 'score': 0.07405168563127518}, {'label': 'neutral', 'score': 0.07138184458017349}, {'label': 'negative', 'score': 0.8545664548873901}]]
[[{'label': 'positive', 'score': 0.17177662253379822}, {'label': 'neutral', 'score': 0.08567439019680023}, {'label': 'negative', 'score': 0.7425490021705627}]]
[[{'label': 'positive', 'score': 0.415833055973053}, {'label': 'neutral', 'score': 0.22961018979549408}, {'label': 'negative', 'score': 0.35455676913261414}]]
[[{'label': 'positive', 'score': 0.3427620828151703}, {'label': 'neutral', 'score': 0.1999424397945404}, {'label': 'negative', 'score': 0.4572954773902893}]]
[[{'label': 'positive', 'score': 0.6188198924064636}, {'label': 'neutral', 'score': 0.16595691442489624}, {'label': 'negative', 'score': 0.21522320806980133}]]
[[{'label': 'positive', 'score': 0.45372945070266724}, {'label': 'neutral', 'score': 0.24316716194152832}, {'label': 'negative', 'score': 0.30310341715812683}]]
[[{'label': 'positive', 'score': 0.583609402179718}, {'label': 'neutral', 'score': 0.19904863834381104}, {'label': 'negative', 'score': 0.21734201908111572}]]
[[{'label': 'positive', 'score': 0.4084979295730591}, {'label': 'neutral', 'score': 0.21257126331329346}, {'label': 'negative', 'score': 0.3789307773113251}]]
[[{'label': 'positive', 'score': 0.5279921889305115}, {'label': 'neutral', 'score': 0.1932414174079895}, {'label': 'negative', 'score': 0.278766393661499}]]
[[{'label': 'positive', 'score': 0.38786566257476807}, {'label': 'neutral', 'score': 0.1726815402507782}, {'label': 'negative', 'score': 0.43945279717445374}]]
[[{'label': 'positive', 'score': 0.3387344777584076}, {'label': 'neutral', 'score': 0.17766277492046356}, {'label': 'negative', 'score': 0.48360273241996765}]]
[[{'label': 'positive', 'score': 0.6300985813140869}, {'label': 'neutral', 'score': 0.16839732229709625}, {'label': 'negative', 'score': 0.20150408148765564}]]
[[{'label': 'positive', 'score': 0.1816752701997757}, {'label': 'neutral', 'score': 0.16265477240085602}, {'label': 'negative', 'score': 0.6556699872016907}]]
[[{'label': 'positive', 'score': 0.46974486112594604}, {'label': 'neutral', 'score': 0.22411994636058807}, {'label': 'negative', 'score': 0.30613526701927185}]]
[[{'label': 'positive', 'score': 0.3211860954761505}, {'label': 'neutral', 'score': 0.1149149164557457}, {'label': 'negative', 'score': 0.5638989806175232}]]
[[{'label': 'positive', 'score': 0.40512675046920776}, {'label': 'neutral', 'score': 0.34298911690711975}, {'label': 'negative', 'score': 0.2518841028213501}]]
[[{'label': 'positive', 'score': 0.20414602756500244}, {'label': 'neutral', 'score': 0.12030817568302155}, {'label': 'negative', 'score': 0.6755458116531372}]]
[[{'label': 'positive', 'score': 0.2929559648036957}, {'label': 'neutral', 'score': 0.14780060946941376}, {'label': 'negative', 'score': 0.559243381023407}]]
[[{'label': 'positive', 'score': 0.27089565992355347}, {'label': 'neutral', 'score': 0.13806496560573578}, {'label': 'negative', 'score': 0.5910392999649048}]]
[[{'label': 'positive', 'score': 0.6007142066955566}, {'label': 'neutral', 'score': 0.14568881690502167}, {'label': 'negative', 'score': 0.2535969614982605}]]
