[[{'label': 'positive', 'score': 0.4529440104961395}, {'label': 'neutral', 'score': 0.11041918396949768}, {'label': 'negative', 'score': 0.4366368055343628}]]
[[{'label': 'positive', 'score': 0.25551915168762207}, {'label': 'neutral', 'score': 0.11162814497947693}, {'label': 'negative', 'score': 0.6328526735305786}]]
[[{'label': 'positive', 'score': 0.3630882501602173}, {'label': 'neutral', 'score': 0.11551108211278915}, {'label': 'negative', 'score': 0.5214006900787354}]]
[[{'label': 'positive', 'score': 0.27439430356025696}, {'label': 'neutral', 'score': 0.16579343378543854}, {'label': 'negative', 'score': 0.5598123073577881}]]
[[{'label': 'positive', 'score': 0.03989267721772194}, {'label': 'neutral', 'score': 0.036360472440719604}, {'label': 'negative', 'score': 0.9237468838691711}]]
[[{'label': 'positive', 'score': 0.24600839614868164}, {'label': 'neutral', 'score': 0.14609338343143463}, {'label': 'negative', 'score': 0.6078982353210449}]]
[[{'label': 'positive', 'score': 0.28895461559295654}, {'label': 'neutral', 'score': 0.1772102564573288}, {'label': 'negative', 'score': 0.5338351130485535}]]
[[{'label': 'positive', 'score': 0.12680308520793915}, {'label': 'neutral', 'score': 0.10028675198554993}, {'label': 'negative', 'score': 0.7729101777076721}]]
[[{'label': 'positive', 'score': 0.5710886716842651}, {'label': 'neutral', 'score': 0.10737596452236176}, {'label': 'negative', 'score': 0.3215353786945343}]]
[[{'label': 'positive', 'score': 0.5335975885391235}, {'label': 'neutral', 'score': 0.09096784144639969}, {'label': 'negative', 'score': 0.3754344880580902}]]
[[{'label': 'positive', 'score': 0.24862335622310638}, {'label': 'neutral', 'score': 0.08164776116609573}, {'label': 'negative', 'score': 0.6697288751602173}]]
[[{'label': 'positive', 'score': 0.374510258436203}, {'label': 'neutral', 'score': 0.1510779857635498}, {'label': 'negative', 'score': 0.47441166639328003}]]
[[{'label': 'positive', 'score': 0.10059297829866409}, {'label': 'neutral', 'score': 0.18087604641914368}, {'label': 'negative', 'score': 0.7185310125350952}]]
[[{'label': 'positive', 'score': 0.28772321343421936}, {'label': 'neutral', 'score': 0.1403539478778839}, {'label': 'negative', 'score': 0.5719228386878967}]]
[[{'label': 'positive', 'score': 0.4406161606311798}, {'label': 'neutral', 'score': 0.1880945861339569}, {'label': 'negative', 'score': 0.3712892532348633}]]
[[{'label': 'positive', 'score': 0.17120659351348877}, {'label': 'neutral', 'score': 0.10992574691772461}, {'label': 'negative', 'score': 0.7188677191734314}]]
[[{'label': 'positive', 'score': 0.30656275153160095}, {'label': 'neutral', 'score': 0.08965954184532166}, {'label': 'negative', 'score': 0.6037777066230774}]]
[[{'label': 'positive', 'score': 0.08326207101345062}, {'label': 'neutral', 'score': 0.05049903690814972}, {'label': 'negative', 'score': 0.8662388920783997}]]
[[{'label': 'positive', 'score': 0.2071419656276703}, {'label': 'neutral', 'score': 0.1674141138792038}, {'label': 'negative', 'score': 0.6254439353942871}]]
[[{'label': 'positive', 'score': 0.45558300614356995}, {'label': 'neutral', 'score': 0.09096565842628479}, {'label': 'negative', 'score': 0.4534513056278229}]]
